xml_message           xml_message_dataname   sql_data_type   blank_display
Power                 watts                  REAL            True         
Torque                Nm                     REAL            True         
Cadence               RPM                    REAL            True         
Speed                 RPM                    REAL            True         
RawTorque             Nm                     REAL            False        
OffsetTorque          Nm                     REAL            False        
SensorConfiguration   config                 INTEGER         False        
CalibrationPass       data                   INTEGER         False        
CalibrationFail       data                   INTEGER         False        
HeartRate             BPM                    REAL            True         
HardwareRevision      version                INTEGER         False        
Manufacturer          mfg_id                 INTEGER         False        
ModelNumber           model_id               INTEGER         False        
SoftwareRevision      version                INTEGER         False        
SerialNumber          number                 INTEGER         False        
BatteryVoltage        voltage                REAL            False        
QuarqStrainDebug      reeds                  INTEGER         False        
QuarqCadenceDebug     events                 INTEGER         False        
QuarqAutoZero         events                 INTEGER         False        
