ant_channel_type     ant_message_type	     xml_message          ant_message_dataname   xml_message_dataname   sql_data_type       blank_display
power		     crank_torque	     Power	      	  power		     	 watts			REAL                True
power		     crank_torque	     Torque	      	  nm_torque		 Nm			REAL                True
power		     crank_torque	     Cadence	      	  cadence		 RPM			REAL                True
power		     crank_SRM		     Power	      	  power		     	 watts			REAL                True
power		     crank_SRM		     Torque	      	  nm_torque		 Nm			REAL                True
power		     crank_SRM		     Cadence	      	  cadence		 RPM			REAL                True
power		     wheel_torque	     Power	      	  power		     	 watts			REAL                True
power		     wheel_torque	     Torque	      	  nm_torque		 Nm			REAL                True
power		     wheel_torque	     Speed	      	  wheel_rpm		 RPM			REAL                True
power		     standard_power	     Power	      	  sum_power		 watts			REAL                True
power		     standard_power	     Cadence	      	  instant_cadence	 RPM			REAL		    True
power		     torque_support	     RawTorque	      	  raw_torque	     	 Nm			REAL		    False
power		     torque_support	     OffsetTorque         offset_torque	     	 Nm			REAL		    False
power		     torque_support	     SensorConfiguration  sensor_configuration	 config			INTEGER		    False
power		     calibration_pass        CalibrationPass	  calibration_data	 data			INTEGER		    False
power		     calibration_fail        CalibrationFail	  calibration_data	 data			INTEGER		    False
heartrate	     heart_rate	     	     HeartRate		  instant_heart_rate	 BPM			REAL		    True
speed 		     speed		     Speed		  rpm			 RPM			REAL		    True
cadence 	     cadence		     Cadence		  rpm			 RPM			REAL		    True
speed_cadence	     speed_cadence	     Speed		  wheel_rpm		 RPM			REAL		    True
speed_cadence	     speed_cadence	     Cadence		  crank_rpm		 RPM			REAL		    True
*		     manufacturer 	     HardwareRevision	  hw_rev		 version		INTEGER		    False
*		     manufacturer	     Manufacturer	  manufacturer_id	 mfg_id			INTEGER		    False
*		     manufacturer	     ModelNumber	  model_number_id	 model_id		INTEGER		    False
*		     product		     SoftwareRevision	  sw_rev		 version		INTEGER		    False
*		     product		     SerialNumber	  serial_number		 number			INTEGER		    False
*		     battery_voltage	     BatteryVoltage	  voltage	         voltage		REAL		    False
